1, 김현길,  1,  1,  1
2, 최진동,  1,  1,  2
3, 박명진,  1,  1,  3
4, 최재진,  1,  1,  4
5, 박진현,  1,  1,  5
6, 박현명,  1,  1,  6
7, 최현길,  1,  1,  7
8, 이길명,  1,  1,  8
9, 박동재,  1,  1,  9
10, 최진현,  1,  1,  10
11, 박명재,  1,  2,  1
12, 정현수,  1,  2,  2
13, 김동동,  1,  2,  3
14, 김석동,  1,  2,  4
15, 정명진,  1,  2,  5
16, 박석현,  1,  2,  6
17, 이수진,  1,  2,  7
18, 최동수,  1,  2,  8
19, 김진현,  1,  2,  9
20, 정동재,  1,  2,  10
21, 박수진,  1,  3,  1
22, 이진길,  1,  3,  2
23, 김동재,  1,  3,  3
24, 정수재,  1,  3,  4
25, 최수현,  1,  3,  5
26, 박수수,  1,  3,  6
27, 정현현,  1,  3,  7
28, 정길진,  1,  3,  8
29, 정수진,  1,  3,  9
30, 박동명,  1,  3,  10
31, 최석명,  1,  4,  1
32, 이길수,  1,  4,  2
33, 최현현,  1,  4,  3
34, 정길진,  1,  4,  4
35, 김길수,  1,  4,  5
36, 최명진,  1,  4,  6
37, 최수수,  1,  4,  7
38, 최수동,  1,  4,  8
39, 박석진,  1,  4,  9
40, 김길진,  1,  4,  10
41, 정재길,  1,  5,  1
42, 김진수,  1,  5,  2
43, 박수진,  1,  5,  3
44, 최명진,  1,  5,  4
45, 정명명,  1,  5,  5
46, 최명명,  1,  5,  6
47, 박길석,  1,  5,  7
48, 이현동,  1,  5,  8
49, 박석진,  1,  5,  9
50, 박현재,  1,  5,  10
51, 최수재,  2,  1,  1
52, 이길동,  2,  1,  2
53, 최명길,  2,  1,  3
54, 최석수,  2,  1,  4
55, 정동현,  2,  1,  5
56, 김현길,  2,  1,  6
57, 최진재,  2,  1,  7
58, 박현석,  2,  1,  8
59, 이진수,  2,  1,  9
60, 이재현,  2,  1,  10
61, 김명진,  2,  2,  1
62, 김석길,  2,  2,  2
63, 이길동,  2,  2,  3
64, 이길명,  2,  2,  4
65, 이동재,  2,  2,  5
66, 최명동,  2,  2,  6
67, 김동명,  2,  2,  7
68, 최재진,  2,  2,  8
69, 박석동,  2,  2,  9
70, 박수재,  2,  2,  10
71, 정명현,  2,  3,  1
72, 이수수,  2,  3,  2
73, 최길재,  2,  3,  3
74, 최현명,  2,  3,  4
75, 최석재,  2,  3,  5
76, 김석수,  2,  3,  6
77, 정석길,  2,  3,  7
78, 김석현,  2,  3,  8
79, 정진길,  2,  3,  9
80, 이진진,  2,  3,  10
81, 김수명,  2,  4,  1
82, 이명진,  2,  4,  2
83, 박재명,  2,  4,  3
84, 이재현,  2,  4,  4
85, 박동진,  2,  4,  5
86, 김현동,  2,  4,  6
87, 이동현,  2,  4,  7
88, 이수석,  2,  4,  8
89, 정현재,  2,  4,  9
90, 정길동,  2,  4,  10
91, 정수현,  2,  5,  1
92, 정재현,  2,  5,  2
93, 최석진,  2,  5,  3
94, 김수명,  2,  5,  4
95, 김석재,  2,  5,  5
96, 박수현,  2,  5,  6
97, 최동현,  2,  5,  7
98, 이현수,  2,  5,  8
99, 이현명,  2,  5,  9
100, 정재동,  2,  5,  10
101, 최재진,  3,  1,  1
102, 최수길,  3,  1,  2
103, 정진동,  3,  1,  3
104, 정수진,  3,  1,  4
105, 최현동,  3,  1,  5
106, 정재동,  3,  1,  6
107, 김현동,  3,  1,  7
108, 김동진,  3,  1,  8
109, 최재재,  3,  1,  9
110, 박길명,  3,  1,  10
111, 박현재,  3,  2,  1
112, 최명길,  3,  2,  2
113, 최동수,  3,  2,  3
114, 최석명,  3,  2,  4
115, 최재진,  3,  2,  5
116, 박명명,  3,  2,  6
117, 김수동,  3,  2,  7
118, 김진재,  3,  2,  8
119, 정재명,  3,  2,  9
120, 박진명,  3,  2,  10
121, 이진현,  3,  3,  1
122, 최석석,  3,  3,  2
123, 박길수,  3,  3,  3
124, 김명석,  3,  3,  4
125, 박현현,  3,  3,  5
126, 이동명,  3,  3,  6
127, 이길길,  3,  3,  7
128, 정길현,  3,  3,  8
129, 정현명,  3,  3,  9
130, 최현재,  3,  3,  10
131, 이수동,  3,  4,  1
132, 정명진,  3,  4,  2
133, 이재재,  3,  4,  3
134, 박석명,  3,  4,  4
135, 정재수,  3,  4,  5
136, 최석명,  3,  4,  6
137, 정수수,  3,  4,  7
138, 정석재,  3,  4,  8
139, 박동명,  3,  4,  9
140, 김재재,  3,  4,  10
141, 박석수,  3,  5,  1
142, 정석수,  3,  5,  2
143, 김길수,  3,  5,  3
144, 이진동,  3,  5,  4
145, 김현동,  3,  5,  5
146, 박길수,  3,  5,  6
147, 김동진,  3,  5,  7
148, 최재석,  3,  5,  8
149, 최수길,  3,  5,  9
150, 이길명,  3,  5,  10
